,Rows,"Угол нашивки, град",Плотность нашивки,"Угол нашивки, град-Плотность нашивки"
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа",,-0.025995781535060214,-0.07274102891835454,-0.049368405226707934
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа",,-0.06299890808222619,-0.061094153675323115,-0.06204653087877521
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.07102891208366402,-0.07766937782199079,-0.07434914495282896
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.010044287099771454,-0.10555871338047851,-0.05780150024012565
"Плотность, кг/м3-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.08925919143827943,-0.03689100815748292,-0.0630750997978814
"Плотность, кг/м3-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.049217684998677624,-0.040104855142508944,-0.04466127007059384
"Плотность, кг/м3-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.0884995964651707,-0.024734578531112383,-0.05661708749814243
"Плотность, кг/м3-Температура вспышки, С_2-Потребление смолы, г/м2",,0.00731788371414821,-0.05358114391064728,-0.023131630098250866
"Плотность, кг/м3-Температура вспышки, С_2-Шаг нашивки",,-0.02393402375090692,-0.07684508875372953,-0.050389556252319334
"Плотность, кг/м3-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.06582026083948822,-0.016956188661746863,-0.04138822475061821
"Плотность, кг/м3-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.0607201231628991,-0.08884598356060835,-0.07478305336175461
"Плотность, кг/м3-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.059417960351855204,-0.08214918096426027,-0.07078357065805863
"Плотность, кг/м3-Поверхностная плотность, г/м2-Шаг нашивки",,-0.05572849905389732,-0.036407834362131686,-0.046068166708014835
"Плотность, кг/м3-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,0.00699234301138707,-0.03944813302445138,-0.01622789500653332
"Плотность, кг/м3-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.06885864073192383,-0.03951177553287777,-0.054185208132401685
"Плотность, кг/м3-Модуль упругости при растяжении, ГПа-Шаг нашивки",,0.005473153065169045,-0.054200593213661996,-0.02436372007424753
"Плотность, кг/м3-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.05475187694561434,-0.0378121375838707,-0.04628200726474374
"Плотность, кг/м3-Прочность при растяжении, МПа-Шаг нашивки",,-0.011671990613576488,-0.02541601658813364,-0.018544003600856063
"Плотность, кг/м3-Потребление смолы, г/м2-Шаг нашивки",,-0.02122118456123201,-0.010756917270513977,-0.01598905091587366
"модуль упругости, ГПа-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.06929269500227209,-0.02285365809395934,-0.04607317654811638
"модуль упругости, ГПа-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.059200933216681184,-0.06032410180537706,-0.05976251751103023
"модуль упругости, ГПа-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.07298215630022975,-0.05182910627815218,-0.0624056312891923
"модуль упругости, ГПа-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа",,-0.0799270246257977,-0.03295390676375387,-0.056440465694776676
"модуль упругости, ГПа-Количество отвердителя, м.%-Прочность при растяжении, МПа",,-0.13787326971725422,-0.010656127872189947,-0.07426469879472308
