,Rows,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа"
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.012034960584812682,-0.028433173870333395,-0.020234067227572816
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.004478424396733072,-0.02575114415267077,-0.015114784274702031
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.008140752736711665,-0.03179031709752134,-0.019965534917115835
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Угол нашивки, град",,-0.008672885048175205,-0.027046768348774952,-0.01785982669847519
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Плотность нашивки",,-0.009522577615174166,-0.027054408156860665,-0.018288492886017305
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.026046639886762257,-0.03080032653277831,-0.02842348320976984
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.020158039317243803,-0.028205928069540365,-0.024181983693392417
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Шаг нашивки",,-0.02337254549308465,-0.034928126489931266,-0.02915033599150829
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Угол нашивки, град",,-0.02415593373261604,-0.029988604193138757,-0.027072268962877066
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Плотность нашивки",,-0.025027268516744527,-0.029904976185617382,-0.027466122351181177
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.008978464417549459,-0.026768285935373948,-0.017873375176461037
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Шаг нашивки",,-0.012591922118348142,-0.03245430063525112,-0.0225231113767993
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.013397383478363167,-0.028206150308510924,-0.020801766893436935
